age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
36,M,1168,Célibataire,0,false,3442 PG 87
77,M,971,En Couple,2,false,3533 DC 75
35,F,458,En Couple,4,false,1313 JJ 80
35,F,404,En Couple,2,false,9948 XU 44
56,M,1146,En Couple,1,true,2259 AA 80
36,M,200,En Couple,2,false,5135 KT 30
26,M,474,Célibataire,0,false,1544 OG 24
44,F,205,En Couple,0,?,220 XS 78
29,M,1274,En Couple,2,false,3611 JW 75
79,M,153,En Couple,0,false,3042 ZQ 97
45,M,194,En Couple,1,false,3571 II 57
56,M,580,En Couple,3,false,9453 PG 19
53,M,237,En Couple,1,false,7885 CD 50
41,M,523,Célibataire,0,false,2801 NH 66
47,M,575,Célibataire,0,false,1349 BZ 24
27,M,168,En Couple,2,true,2476 AA 36
34,M,503,En Couple,4,false,6972 UV 67
84,M,402,Célibataire,0,false,198 HM 75
32,M,231,Célibataire,0,false,6944 KM 85
60,M,199,En Couple,2,false,2289 SJ 84
30,M,174,Célibataire,0,false,313 FW 81
74,F,190,Seule,1,false,6026 GR 20
83,M,528,En Couple,4,true,2135 SY 12
58,M,1390,Célibataire,0,false,5928 HT 97
35,M,167,En Couple,2,false,6871 WN 64
47,M,213,En Couple,0,false,7338 XU 52
75,M,1186,En Couple,3,false,45 ZQ 63
79,M,862,Célibataire,0,false,1579 TO 10
43,M,718,En Couple,0,true,5353 BW 34
80,M,181,En Couple,2,false,1423 TX 42
55,M,440,En Couple,0,false,9812 JW 48
51,F,1101,Célibataire,0,false,3893 QF 68
61,F,226,En Couple,0,false,961 GJ 98
18,M,461,En Couple,4,false,4164 SS 15
63,F,177,En Couple,2,false,7406 BM 70
29,F,941,Célibataire,0,false,1247 WV 88
75,M,162,En Couple,1,false,5538 GX 42
30,M,1167,Seule,3,false,3539 FK 42
18,M,516,En Couple,4,false,2014 JD 71
27,M,166,En Couple,2,true,70 JZ 52
24,F,778,En Couple,4,false,4974 KV 80
45,M,478,En Couple,1,true,919 BV 75
30,M,243,En Couple,2,false,2663 KL 54
49,M,183,En Couple,1,false,3426 UN 33
43,M,1394,En Couple,1,false,3256 DJ 13
36,M,591,En Couple,2,false,6283 SO 84
52,M,1001,Célibataire,0,false,1179 KY 62
79,M,551,En Couple,0,false,127 MG 10
42,F,156,Célibataire,0,false,6274 MB 24
20,M,530,Célibataire,0,false,7224 JA 36
18,F,160,En Couple,2,false,2316 VR 59
20,F,549,En Couple,4,false,9608 WH 71
70,F,711,En Couple,1,true,2815 PE 86
43,M,901,En Couple,4,false,5370 LC 34
60,M,734,En Couple,3,false,6269 UZ 63
34,M,582,Célibataire,0,false,6997 NX 94
59,F,1069,Seule,3,false,6049 ZJ 25
20,M,217,En Couple,2,false,826 BA 85
79,M,404,En Couple,2,false,1 BB 28
47,M,190,En Couple,1,false,7363 IS 10
20,F,544,Célibataire,0,false,4635 SL 77
