marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,true,16029
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,true,16029
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,false,31790
Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,false,31790
Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
Skoda,Superb 2.8 V6,193,très longue,5,5,blanc,false,31790
Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
Seat,Toledo 1.6,102,longue,5,5,noir,false,18880
Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880
Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
Saab,9.3 1.8T,150,longue,5,5,blanc,false,38600
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,true,34440
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,true,34440
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,true,34440
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,true,34440
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,true,15644
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
Renault,Laguna 2.0T,170,longue,5,5,gris,true,19110
Renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110
Renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110
Renault,Laguna 2.0T,170,longue,5,5,noir,true,19110
Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
Renault,Espace 2.0T,165,longue,7,5,gris,true,21245
Renault,Espace 2.0T,165,longue,7,5,bleu,true,21245
Renault,Espace 2.0T,165,longue,7,5,noir,true,21245
Renault,Espace 2.0T,165,longue,7,5,rouge,true,21245
Renault,Espace 2.0T,165,longue,7,5,blanc,true,21245
Renault,Espace 2.0T,165,longue,7,5,noir,false,30350
Renault,Espace 2.0T,165,longue,7,5,bleu,false,30350
Renault,Espace 2.0T,165,longue,7,5,rouge,false,30350
Renault,Espace 2.0T,165,longue,7,5,blanc,false,30350
Renault,Espace 2.0T,165,longue,7,5,gris,false,30350
Peugeot,1007 1.4,75,courte,5,5,rouge,true,9625
Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
Peugeot,1007 1.4,75,courte,5,5,gris,true,9625
Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
Nissan,Primera 1.6,109,longue,5,5,noir,false,18650
Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650
Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
Nissan,Primera 1.6,109,longue,5,5,gris,false,18650
Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
Nissan,Maxima 3.0 V6,200,très longue,5,5,noir,false,30000
Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000
Nissan,Maxima 3.0 V6,200,très longue,5,5,bleu,false,30000
Nissan,Maxima 3.0 V6,200,très longue,5,5,rouge,false,30000
Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000
Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450
Nissan,Almera 1.8,115,moyenne,5,5,bleu,false,16450
Nissan,Almera 1.8,115,moyenne,5,5,noir,false,16450
Nissan,Almera 1.8,115,moyenne,5,5,rouge,false,16450
Nissan,Almera 1.8,115,moyenne,5,5,blanc,false,16450
Mini,Copper 1.6 16V,115,courte,5,5,gris,true,12740
Mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740
Mini,Copper 1.6 16V,115,courte,5,5,rouge,true,12740
Mini,Copper 1.6 16V,115,courte,5,5,noir,true,12740
Mini,Copper 1.6 16V,115,courte,5,5,blanc,true,12740
Mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200
Mini,Copper 1.6 16V,115,courte,5,5,bleu,false,18200
Mini,Copper 1.6 16V,115,courte,5,5,rouge,false,18200
Mini,Copper 1.6 16V,115,courte,5,5,noir,false,18200
Mini,Copper 1.6 16V,115,courte,5,5,blanc,false,18200
Mercedes,S500,306,très longue,5,5,noir,true,70910
Mercedes,S500,306,très longue,5,5,bleu,true,70910
Mercedes,S500,306,très longue,5,5,rouge,true,70910
Mercedes,S500,306,très longue,5,5,blanc,true,70910
Mercedes,S500,306,très longue,5,5,bleu,false,101300
Mercedes,S500,306,très longue,5,5,gris,true,70910
Mercedes,S500,306,très longue,5,5,noir,false,101300
Mercedes,S500,306,très longue,5,5,blanc,false,101300
Mercedes,S500,306,très longue,5,5,rouge,false,101300
Mercedes,S500,306,très longue,5,5,gris,false,101300
Mercedes,A200,136,moyenne,5,5,blanc,false,25900
Mercedes,A200,136,moyenne,5,5,noir,false,25900
Mercedes,A200,136,moyenne,5,5,blanc,true,18130
Mercedes,A200,136,moyenne,5,5,rouge,true,18130
Mercedes,A200,136,moyenne,5,5,noir,true,18130
Mercedes,A200,136,moyenne,5,5,rouge,false,25900
Mercedes,A200,136,moyenne,5,5,bleu,true,18130
Mercedes,A200,136,moyenne,5,5,gris,true,18130
Mercedes,A200,136,moyenne,5,5,gris,false,25900
Mercedes,A200,136,moyenne,5,5,bleu,false,25900
Lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,false,13500
Lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,true,9450
Lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500
Lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500
Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500
Lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,true,9450
Lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,true,9450
Lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500
Lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,true,9450
Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450
Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990
Kia,Picanto 1.1,65,courte,5,5,gris,false,8990
Kia,Picanto 1.1,65,courte,5,5,noir,false,8990
Kia,Picanto 1.1,65,courte,5,5,rouge,false,8990
Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
Hyundaï,Matrix 1.6,103,longue,7,5,bleu,false,15960
Hyundaï,Matrix 1.6,103,longue,7,5,blanc,false,15960
Hyundaï,Matrix 1.6,103,longue,7,5,gris,false,15960
Hyundaï,Matrix 1.6,103,longue,7,5,noir,false,15960
Hyundaï,Matrix 1.6,103,longue,7,5,rouge,false,15960
Honda,FR-V 1.7,125,longue,7,5,noir,false,19550
Honda,FR-V 1.7,125,longue,7,5,bleu,false,19550
Honda,FR-V 1.7,125,longue,7,5,gris,false,19550
Honda,FR-V 1.7,125,longue,7,5,blanc,false,19550
Honda,FR-V 1.7,125,longue,7,5,rouge,false,19550
Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730
Ford,Mondeo 1.8,125,longue,5,5,gris,true,16730
Ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730
Ford,Mondeo 1.8,125,longue,5,5,noir,true,16730
Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730
Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900
Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
Fiat,Croma 2.2,147,longue,5,5,rouge,true,17346
Fiat,Croma 2.2,147,longue,5,5,gris,true,17346
Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
Fiat,Croma 2.2,147,longue,5,5,noir,true,17346
Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850
Daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850
Daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850
Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500
Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
Dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500
Dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500
BMW,M5,507,très longue,5,5,bleu,true,66360
BMW,M5,507,très longue,5,5,gris,false,94800
BMW,M5,507,très longue,5,5,blanc,false,94800
BMW,M5,507,très longue,5,5,noir,false,94800
BMW,M5,507,très longue,5,5,rouge,true,66360
BMW,M5,507,très longue,5,5,blanc,true,66360
BMW,M5,507,très longue,5,5,bleu,false,94800
BMW,M5,507,très longue,5,5,gris,true,66360
BMW,M5,507,très longue,5,5,rouge,false,94800
BMW,M5,507,très longue,5,5,noir,true,66360
BMW,120i,150,moyenne,5,5,rouge,true,25060
BMW,120i,150,moyenne,5,5,bleu,false,35800
BMW,120i,150,moyenne,5,5,blanc,false,35800
BMW,120i,150,moyenne,5,5,gris,false,35800
BMW,120i,150,moyenne,5,5,rouge,false,35800
BMW,120i,150,moyenne,5,5,bleu,true,25060
BMW,120i,150,moyenne,5,5,gris,true,25060
BMW,120i,150,moyenne,5,5,noir,true,25060
BMW,120i,150,moyenne,5,5,blanc,true,25060
BMW,120i,150,moyenne,5,5,noir,false,35800
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950
Audi,A2 1.4,75,courte,5,5,noir,true,12817
Audi,A2 1.4,75,courte,5,5,bleu,false,18310
Audi,A2 1.4,75,courte,5,5,gris,false,18310
Audi,A2 1.4,75,courte,5,5,bleu,true,12817
Audi,A2 1.4,75,courte,5,5,gris,true,12817
Audi,A2 1.4,75,courte,5,5,noir,false,18310
Audi,A2 1.4,75,courte,5,5,rouge,false,18310
Audi,A2 1.4,75,courte,5,5,blanc,true,12817
Audi,A2 1.4,75,courte,5,5,rouge,true,12817
Audi,A2 1.4,75,courte,5,5,blanc,false,18310
